family	dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	xA	yA	xB	yB	xC	yC	xD	yD	xE	yE	xF	yF	xG	yG	xH	yH	xI	yI
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2017	3	7	9	387.807915	507.8776041	337.0042439	450.4453732	367.3584229	382.7650807	418.0900277	382.7014928	-625.4892202	225.0502557	-287.3209134	190.8052664	-721.1886657	-573.0082961	118.2606168	-26.15828412	-351.5329652	-2469.145574
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2013	11	2	12	454.356509	285.3322763	443.9353488	239.9175853	484.1598099	196.2670954	558.7741852	182.797014	-611.6085738	720.9687149	-481.1374746	398.6368443	-1187.827716	-917.5181596	116.3344211	-175.655146	470.6518611	-1746.390881
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2015	6	4	9	501.4120486	398.9569115	450.9822049	382.9966652	502.7784074	354.1278803	558.469529	344.2768387	-671.9135731	544.3483627	-564.7878675	377.7863091	-1069.680486	-1143.045877	61.60644156	-190.3133728	2.520361951	-1779.472582
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2017	8	2	9	482.4901928	391.4523689	422.8778546	354.621114	497.5512458	283.8348517	549.4495465	282.7517643	-937.8585174	611.4708682	-341.0370484	349.7952118	-895.5213489	-677.0511057	214.8314411	-215.6284172	34.76113013	-1877.954577
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2017	9	1	9	507.8176838	428.7888744	454.1211665	368.949083	503.9399149	295.3322636	561.3855046	268.143559	-962.559794	486.1354512	-549.2654206	228.9858797	-999.7390447	-809.2280454	19.35583067	-194.5218698	151.6320122	-1744.390256
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2013	10	3	12	483.5414664	354.29753	472.1636496	320.7531475	506.7529833	290.7720287	558.1006738	259.7681971	-833.9271991	664.8506571	-333.4741791	358.9930793	-1208.174212	-978.867324	110.3610994	-145.516845	130.8787058	-1402.642082
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2015	9	1	9	442.5926271	461.6804948	411.1987011	420.109178	528.7312524	435.6961151	629.6084942	438.7170385	-673.6025012	647.0170544	-353.6594484	240.7882424	-1160.38597	-677.6450742	188.8362882	-118.9598613	97.44731646	-1568.187143
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2015	7	3	9	565.5312135	413.0525498	523.3639755	375.5317419	559.2061361	321.9142268	633.3675994	293.8604391	-779.845559	593.7986542	-506.825532	346.9830893	-889.3085825	-804.0160378	76.07265414	-311.4933966	-74.98245506	-1413.053099
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2016	3	5	7	409.7827429	418.1503761	354.182503	375.464546	451.2020049	345.9511207	515.6774874	321.6283322	-693.8698737	543.1999536	-352.3924988	281.599761	-1147.251977	-714.9907889	47.22751815	-87.31829745	265.8985097	-2153.508734
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2017	5	5	9	428.9427851	312.9491791	373.3390802	294.2990682	436.267376	266.3712274	471.009459	265.35053	-667.1992247	547.9901187	-631.7724132	438.76953	-1233.925883	-857.1511821	101.0081511	-131.3850341	256.3078552	-2209.715269
