dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x6	y6	x5	y5	x4	y4	x3	y3	x15	y15	x14	y14	x13	y13	x12	y12	x11	y11
passiflora	actinia		left	1	17	17	88.46746301	424.7589363	99.22732382	400.9441396	65.72698576	378.318652	28.42968486	371.1159216	381.7495352	279.2094625	405.3451493	249.3861711	570.6697935	-326.4976726	563.2528071	-424.176777	-108.8317339	-1510.662028
passiflora	actinia		left	2	16	17	33.87918958	430.6784151	42.80025589	410.6317217	21.43898324	394.7337589	-17.13848228	393.2132413	467.6271314	173.8701354	489.936964	124.3401895	538.4268855	-343.9006761	525.0226931	-425.3784299	28.71384474	-1468.443026
passiflora	actinia		left	3	15	17	14.30790369	418.9804355	19.75840721	394.2353601	4.770596355	377.6318814	-34.23916123	376.4680732	460.3489317	210.1379026	488.9110006	155.3395179	557.7274213	-406.2831385	546.6947064	-517.9105911	120.6986954	-1462.301694
passiflora	actinia		left	4	14	17	23.49580974	411.3028762	25.47121289	388.9666191	13.24664146	361.0645985	-19.82932433	359.8697628	483.0261273	261.1416737	517.5113482	207.4529436	617.9773733	-346.8686427	535.0194832	-519.980964	-58.89985968	-1385.313503
passiflora	actinia		left	5	13	17	18.6916395	352.5526511	26.48550143	336.5721855	18.1667179	313.9865268	-16.96557953	316.0966567	392.2061078	308.6483296	440.8112496	275.5454613	591.9641939	-391.1589709	572.2480395	-473.5750879	82.42678459	-1493.947554
passiflora	actinia		left	6	12	17	29.56799221	399.7858095	37.01408566	375.4546298	27.06766292	356.3804526	-9.515832222	342.8988876	536.3643199	211.0983018	556.2315749	146.5183167	603.5982282	-307.7653328	583.337495	-406.9825993	10.53684787	-1424.586489
passiflora	actinia		left	7	11	17	10.65483895	362.8061674	15.47109922	340.7330598	13.35133795	310.0794248	-36.94790697	316.2752267	465.752611	237.1274258	500.6242105	191.2358768	641.548306	-285.9204606	617.4657418	-398.3903829	0.618198291	-1459.041832
passiflora	actinia		left	8	10	17	50.0874772	368.1640914	61.53750621	347.2939746	45.96720356	320.4729139	0.43008679	311.1539874	449.1253444	259.9634556	504.4901596	210.4482097	681.0688104	-276.9784903	644.2226619	-358.2889669	-83.15214921	-1413.747737
passiflora	actinia		left	9	9	17	55.75959051	357.2586334	71.74126661	336.3252374	54.67636801	305.5527332	8.969151883	315.3801385	394.4934247	306.790393	455.6547423	263.6766065	658.8473527	-352.5267861	632.3586276	-445.8994478	19.28564287	-1418.75791
passiflora	actinia		left	10	8	17	29.64691463	424.7344389	38.29923586	407.4157543	27.46838808	381.4454507	-13.66418973	358.7317033	558.7956251	215.6900195	606.3904129	142.0820998	619.2074114	-381.7273648	584.5560003	-442.3216975	-39.08093375	-1260.294638
passiflora	actinia		left	11	7	17	32.84497364	353.4487748	43.10858661	332.3497452	34.57182272	303.4502171	-18.79248323	295.6478125	492.4434773	263.2466692	561.0817627	208.4079259	741.2371159	-314.5565534	683.1167615	-426.2152072	-50.971975	-1257.267788
passiflora	actinia		left	12	6	17	39.82721713	363.870398	52.19534313	343.1310883	18.60663767	333.1652916	-19.08961683	330.3695089	562.6223036	240.3284196	604.1941028	176.2707869	691.1033519	-347.0461668	673.9420749	-419.3588636	-24.02056201	-1229.186713
passiflora	actinia		left	13	5	17	-3.275879782	376.7535964	6.350894116	358.9919605	0.030698384	330.6357285	-39.84025191	287.5738034	489.2862483	315.0369889	535.3566737	251.1508206	708.043919	-416.4500038	671.4156149	-540.6071393	-0.561687892	-1261.778008
passiflora	actinia		left	14	4	17	56.15496888	382.3619841	65.54688016	363.1320692	45.24394644	341.3076271	-8.778731636	316.3519087	487.001952	274.5938723	546.035727	200.5368748	679.4967978	-349.7101821	641.2173228	-431.2826264	-23.49977877	-1262.755546
passiflora	actinia		left	15	3	17	9.558959903	370.7518455	23.3174035	350.3409274	11.98663861	318.6397568	-36.83218481	304.3108591	427.7017119	283.6628566	525.5129544	210.5682896	717.1110063	-342.5393639	707.7959808	-555.3060391	34.28292416	-1283.825559
passiflora	actinia		left	16	2	17	-6.243461628	437.987424	-1.364371215	406.3784696	-5.61395312	330.9158842	-46.47154771	357.5754667	553.3485316	225.1760897	629.5987589	104.0234809	699.7684836	-454.2949497	653.8118801	-586.154539	107.1722719	-1110.687159
passiflora	actinia		left	17	1	17	47.82009155	478.5666721	52.64170091	453.4892004	36.9619271	393.879076	-6.222487744	369.8973336	420.3365523	231.6944977	471.9081229	154.4306924	506.2765281	-489.3975851	475.1346647	-548.1573683	-57.3632288	-1095.686541
passiflora	actinia		left	1	14	14	37.96667592	379.1044375	52.37518206	354.6108595	28.65649254	325.9443738	-26.23110944	360.6117714	426.2938252	265.674601	469.7897772	196.9151933	599.540556	-302.9873507	581.284358	-403.0046843	-67.12227072	-1544.337476
passiflora	actinia		left	2	13	14	45.59502215	344.6146367	44.29702161	319.1533492	43.0219958	288.7739271	-6.230564028	303.2439036	434.9372129	239.824699	485.5470202	190.6543608	594.5608007	-207.8745609	593.2032743	-273.8294519	-31.78031652	-1598.088328
passiflora	actinia		left	3	12	14	4.179220512	375.0379367	18.1738632	351.2734739	-3.965766326	333.048031	-42.27898233	326.5786203	480.5446892	235.1359661	522.7180667	165.8592992	610.513753	-315.2693095	599.6760794	-469.0381988	65.24363138	-1484.672438
passiflora	actinia		left	4	11	14	-0.417537736	327.0816788	16.76615381	308.9742267	1.212884576	290.1656494	-42.94834034	297.4498354	538.282491	214.722115	584.7287982	137.3351575	692.0144055	-229.4294886	673.7019536	-336.4194598	-8.066589697	-1420.13506
passiflora	actinia		left	5	10	14	36.71955007	332.1170884	39.55798357	304.844848	25.27946413	282.4967602	-12.56361462	286.1152949	464.975892	280.8221424	521.3519826	246.3850843	699.248664	-273.8216828	677.2571837	-351.6118297	-73.71985492	-1372.109322
passiflora	actinia		left	6	9	14	8.950841229	377.7882881	16.08821608	360.953878	5.415448339	334.4138702	-28.69324292	351.4915329	568.8114254	256.2799579	607.9318542	191.9937043	645.2680582	-420.5676424	615.1043796	-518.5452703	47.07213926	-1247.075835
passiflora	actinia		left	7	8	14	17.14953017	336.8318751	26.02600257	318.4451374	8.874215335	299.0272429	-31.30851378	305.5778798	508.8309699	285.4768094	568.9484889	248.7578637	686.875116	-382.0358381	670.6475702	-465.7810386	24.80651963	-1312.659216
passiflora	actinia		left	8	7	14	-0.771611118	308.2958194	12.63888818	287.9147344	4.722571498	258.8418679	-41.52384437	256.9355007	510.4964923	226.7041468	583.4140787	158.075816	715.4362189	-187.1849216	693.5676727	-381.0903785	32.1312819	-1359.711474
passiflora	actinia		left	9	6	14	20.27751301	330.0507977	26.72934023	304.7837442	16.37261409	270.1840151	-29.45537672	302.5996258	540.8929388	211.5848925	590.0836516	145.468242	719.3725306	-208.2494344	715.0869459	-358.5610471	-54.61629996	-1316.968216
passiflora	actinia		left	10	5	14	29.59825429	358.5178891	39.13260281	337.2830764	35.00458974	302.5944316	-6.691968763	298.5104015	425.6053715	299.330977	497.1523031	258.6552214	722.9566149	-411.4888863	695.4956435	-540.8956164	55.01342016	-1260.724864
