dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x1	y1	x2	y2	x3	y3	x4	y4	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11
passiflora	actinia		right	1	17	17	1.939414673	414.8129126	-7.047279306	385.7199151	28.42968486	371.1159216	65.72698576	378.318652	-497.0085259	88.91310279	-517.0578063	12.92080613	-543.0850786	-334.1821636	-531.7777331	-410.5813788	-108.8317339	-1510.662028
passiflora	actinia		right	2	16	17	-27.97209458	433.1547459	-27.12705075	417.9535213	-17.13848228	393.2132413	21.43898324	394.7337589	-461.4701745	205.2228763	-506.6244093	168.8004375	-563.7948964	-435.0343735	-543.7188397	-479.8425374	28.71384474	-1468.443026
passiflora	actinia		right	3	15	17	-43.24281612	430.0539132	-39.27793626	409.9767807	-34.23916123	376.4680732	4.770596355	377.6318814	-472.8314636	200.2499954	-500.030931	149.1734791	-568.3020102	-330.3718896	-555.2933442	-405.3800261	120.6986954	-1462.301694
passiflora	actinia		right	4	14	17	-36.08250899	416.832663	-30.52720293	394.2362168	-19.82932433	359.8697628	13.24664146	361.0645985	-470.337666	260.0566359	-516.3302801	199.4196944	-562.1800238	-475.4227503	-521.5611304	-532.7578237	-58.89985968	-1385.313503
passiflora	actinia		right	5	13	17	-7.724385539	362.8522331	-18.02491687	347.266408	-16.96557953	316.0966567	18.1667179	313.9865268	-412.398635	301.0053721	-472.9751785	268.5966314	-616.2640033	-376.2962312	-598.6475354	-448.1446115	82.42678459	-1493.947554
passiflora	actinia		right	6	12	17	-16.05586017	392.1881509	-19.70111661	368.2568494	-9.515832222	342.8988876	27.06766292	356.3804526	-558.5396351	184.2119336	-588.0796879	135.3079397	-600.4520344	-358.4539764	-591.3740404	-414.3128736	10.53684787	-1424.586489
passiflora	actinia		right	7	11	17	-34.82429553	373.196015	-37.80998187	356.1925115	-36.94790697	316.2752267	13.35133795	310.0794248	-410.5291709	297.7240951	-462.2039202	257.8174023	-650.7205869	-424.827997	-632.4504813	-475.0065323	0.618198291	-1459.041832
passiflora	actinia		right	8	10	17	-0.098963575	362.5594966	-3.733423574	339.6774634	0.43008679	311.1539874	45.96720356	320.4729139	-518.1835431	224.2486346	-547.1127481	177.0457373	-641.8073677	-401.2594753	-642.8410548	-470.7532954	-83.15214921	-1413.747737
passiflora	actinia		right	9	9	17	15.42756108	361.2312386	2.307194444	343.7908345	8.969151883	315.3801385	54.67636801	305.5527332	-508.7016436	232.8595899	-551.2398942	185.1742564	-660.1847673	-363.6960278	-649.3946177	-427.1594892	19.28564287	-1418.75791
passiflora	actinia		right	10	8	17	-15.8125259	408.5155491	-20.14676069	392.2833195	-13.66418973	358.7317033	27.46838808	381.4454507	-597.0573592	159.7883445	-623.0522364	94.86223438	-588.5875844	-420.2963132	-566.9623982	-480.9089006	-39.08093375	-1260.294638
passiflora	actinia		right	11	7	17	-26.55377246	347.8216766	-27.25082886	333.4952589	-18.79248323	295.6478125	34.57182272	303.4502171	-522.964211	261.548674	-583.0581071	207.031229	-695.0075581	-416.6034635	-663.8055646	-491.8049709	-50.971975	-1257.267788
passiflora	actinia		right	12	6	17	-27.5285939	363.8544745	-29.32722856	348.6701468	-19.08961683	330.3695089	18.60663767	333.1652916	-595.6183256	181.2525803	-626.9804202	125.2135917	-666.8280783	-371.1234685	-653.0982055	-439.411075	-24.02056201	-1229.186713
passiflora	actinia		right	13	5	17	-55.34917423	357.9654012	-50.32200396	340.3358582	-39.84025191	287.5738034	0.030698384	330.6357285	-462.0704853	264.4669094	-503.7791007	221.4566556	-657.593575	-403.826351	-637.6918897	-481.7062204	-0.561687892	-1261.778008
passiflora	actinia		right	14	4	17	-2.787190443	363.5776821	-4.844009634	348.2829687	-8.778731636	316.3519087	45.24394644	341.3076271	-538.7233342	225.1976095	-585.2320038	164.3756296	-679.6691674	-438.1111743	-677.1633792	-497.858697	-23.49977877	-1262.755546
